id,name,country,time_zone,lat,lng
1,Château-Arnoux—St-Auban,FR,Europe/Paris,44.08179,6.001625
2,Château-Arnoux—St-Auban,FR,Europe/Paris,44.0615651,5.9973734
3,Château-Arnoux Mairie,FR,Europe/Paris,44.063863,6.011248
4,Digne-les-Bains,FR,Europe/Paris,44.35,6.35
6,Digne-les-Bains,FR,Europe/Paris,44.08871013,6.222982407
7,La Crau,FR,Europe/Paris,43.1449352,6.0687663
8,Aire-sur-l’Adour,FR,Europe/Paris,43.703854,-0.258269
9,Cagnes-sur-Mer,FR,Europe/Paris,43.65813,7.14864
10,Menton,FR,Europe/Paris,43.776486,7.504349
11,Menton,FR,Europe/Paris,43.774444,7.4933
12,Menton—Garavan,FR,Europe/Paris,43.785202,7.517297
18,Vievola,FR,Europe/Paris,44.1125561,7.5627976
19,Mandelieu-la-Napoule,FR,Europe/Paris,43.523903,6.941313
23,Decazeville,FR,Europe/Paris,44.55,2.25
24,Decazeville Centre,FR,Europe/Paris,44.561434,2.255896
25,Viviez—Decazeville,FR,Europe/Paris,44.5555678,2.2182582
26,Decazeville Fontvergne,FR,Europe/Paris,44.55563534,2.263741493
27,St-Sever Calvados,FR,Europe/Paris,48.833333,-1.033333
28,St-Sever Centre,FR,Europe/Paris,48.839517,-1.049283
29,St-Sever Calvados,FR,Europe/Paris,48.843608,-1.0516979
30,Vire,FR,Europe/Paris,48.83897,-0.88928
31,Vire Centre,FR,Europe/Paris,48.837638,-0.880538
32,Vire,FR,Europe/Paris,48.846329,-0.882884
33,Marans,FR,Europe/Paris,46.3,-1
34,Marans Centre,FR,Europe/Paris,46.290815,-0.979212
35,Marans,FR,Europe/Paris,46.30433,-1.00127
36,Uzerche,FR,Europe/Paris,45.4407088,1.5702735
38,Dijon Ville,FR,Europe/Paris,47.32337,5.027208
40,Pontrieux,FR,Europe/Paris,48.7,-3.166667
41,Pontrieux Halte,FR,Europe/Paris,48.6980361,-3.1644959
42,Pontrieux,FR,Europe/Paris,48.7056437,-3.1574281
43,Auboué,FR,Europe/Paris,49.216163,5.9714608
44,Périgueux,FR,Europe/Paris,45.187408,0.707879
45,Besançon Viotte,FR,Europe/Paris,47.247019,6.022003
47,Douarnenez Office de Tourisme,FR,Europe/Paris,48.09336269,-4.33037281
50,Concarneau,FR,Europe/Paris,47.866667,-3.916667
51,Concarneau Port,FR,Europe/Paris,47.867055,-3.927593
52,Concarneau,FR,Europe/Paris,47.87767079,-3.920531273
55,Aboncourt,FR,Europe/Paris,49.266667,6.35
56,Aiton—Bourgneuf,FR,Europe/Paris,45.566667,6.25
57,Colomiers,FR,Europe/Paris,43.616667,1.35
58,Colomiers,FR,Europe/Paris,43.603734,1.334221
59,Colomiers Lycée International,FR,Europe/Paris,43.6163055,1.3141157
60,Labège,FR,Europe/Paris,43.533333,1.533333
61,Labège Innopole,FR,Europe/Paris,43.5473613,1.5129784
62,Labège Village,FR,Europe/Paris,43.5305367,1.5329207
63,Azay-le-Rideau Mairie,FR,Europe/Paris,47.266667,0.466667
64,Albas,FR,Europe/Paris,44.466667,1.233333
65,Abancourt,FR,Europe/Paris,49.6852237,1.7743058
66,Lunel,FR,Europe/Paris,43.683333,4.133333
67,Lunel-Viel,FR,Europe/Paris,43.6811729,4.0937398
68,Lunel,FR,Europe/Paris,43.679392,4.131086
72,Moirans,FR,Europe/Paris,45.322185,5.581915
73,Arc-et-Senans,FR,Europe/Paris,47.0303516,5.7767843
74,Accolay,FR,Europe/Paris,47.666667,3.716667
76,Dole Ville,FR,Europe/Paris,47.096084,5.488105
77,Dax,FR,Europe/Paris,43.720472,-1.050301
80,Rezé,FR,Europe/Paris,47.2,-1.566667
82,Rezé—Pont-Rousseau,FR,Europe/Paris,47.1932425,-1.5495445
